"Parameter","Category","Fraction","Count"
params_lidar_activation_layer_0,relu,0.8743455497382199,167
params_lidar_activation_layer_0,tanh,0.07329842931937172,14
params_lidar_activation_layer_0,sigmoid,0.05235602094240838,10
params_lidar_activation_layer_1,tanh,0.43636363636363634,24
params_lidar_activation_layer_1,relu,0.2909090909090909,16
params_lidar_activation_layer_1,sigmoid,0.2727272727272727,15
params_lidar_activation_layer_2,relu,0.3888888888888889,7
params_lidar_activation_layer_2,tanh,0.3888888888888889,7
params_lidar_activation_layer_2,sigmoid,0.2222222222222222,4
params_lidar_activation_layer_3,tanh,0.36363636363636365,4
params_lidar_activation_layer_3,relu,0.36363636363636365,4
params_lidar_activation_layer_3,sigmoid,0.2727272727272727,3
params_lidar_activation_layer_4,relu,0.5,2
params_lidar_activation_layer_4,sigmoid,0.5,2
params_optimizer,AdamW,0.8823529411764706,60
params_optimizer,SGD,0.11764705882352941,8
