"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,40.08791208791209,13.983838569854173,32,32,32,48,64
params_cnn3d_filter_decay_factor,0.6167567567567569,0.2939429667215673,0.1,0.30000000000000004,0.8,0.8,0.9
params_cnn3d_filters_layer_0,24.994594594594595,20.752290941446656,16,16,16,32,128
params_cnn3d_kernel_decay_factor,0.4421621621621622,0.21047481434499596,0.1,0.30000000000000004,0.4,0.6,0.9
params_cnn3d_kernel_depth_0,3.2486486486486488,0.9571304547464025,1,3,3,4,5
params_cnn3d_kernel_depth_1,2.1232876712328768,0.9420014962162576,1,1,2,3,4
params_cnn3d_kernel_depth_2,1.4923076923076923,0.6155047959570696,1,1,1,2,3
params_cnn3d_kernel_height_0,2.502702702702703,0.9448045825341018,1,2,3,3,5
params_cnn3d_kernel_height_1,1.9863013698630136,0.7726784347128627,1,1,2,2,4
params_cnn3d_kernel_height_2,1.4923076923076923,0.6155047959570696,1,1,1,2,3
params_cnn3d_kernel_width_0,3.027027027027027,1.226662281366163,1,2,4,4,5
params_cnn3d_kernel_width_1,2.1095890410958904,0.9798191986792546,1,1,2,3,4
params_cnn3d_kernel_width_2,1.4923076923076923,0.6155047959570696,1,1,1,2,3
params_cnn3d_layers,1.7459459459459459,0.9471337179464023,1,1,1,3,3
params_learning_rate,0.003642466083646703,0.0026043858727456855,0.000012960735129528444,0.0014433528782757054,0.003175838560212025,0.005710552353583878,0.009878833801719208
params_pool_dim1,1.9081081081081082,0.2896571984207276,1,2,2,2,2
params_pool_dim2,3.691891891891892,1.0463129827228257,1,3,4,5,5
params_pool_dim3,1.6432432432432433,0.48034212249353914,1,1,2,2,2
