"Parameter","Category","Fraction","Count"
params_coord_activation_layer_0,tanh,0.75,324
params_coord_activation_layer_0,relu,0.20833333333333334,90
params_coord_activation_layer_0,sigmoid,0.041666666666666664,18
params_coord_activation_layer_1,relu,0.5625,63
params_coord_activation_layer_1,tanh,0.32142857142857145,36
params_coord_activation_layer_1,sigmoid,0.11607142857142858,13
params_coord_activation_layer_2,tanh,0.4925373134328358,33
params_coord_activation_layer_2,relu,0.34328358208955223,23
params_coord_activation_layer_2,sigmoid,0.16417910447761194,11
params_coord_activation_layer_3,relu,0.4146341463414634,17
params_coord_activation_layer_3,sigmoid,0.36585365853658536,15
params_coord_activation_layer_3,tanh,0.21951219512195122,9
params_coord_activation_layer_4,sigmoid,0.47058823529411764,8
params_coord_activation_layer_4,relu,0.35294117647058826,6
params_coord_activation_layer_4,tanh,0.17647058823529413,3
params_lidar_activation_layer_0,tanh,0.9143518518518519,395
params_lidar_activation_layer_0,relu,0.04398148148148148,19
params_lidar_activation_layer_0,sigmoid,0.041666666666666664,18
params_lidar_activation_layer_1,tanh,0.41975308641975306,34
params_lidar_activation_layer_1,sigmoid,0.4074074074074074,33
params_lidar_activation_layer_1,relu,0.1728395061728395,14
params_lidar_activation_layer_2,sigmoid,0.421875,27
params_lidar_activation_layer_2,tanh,0.421875,27
params_lidar_activation_layer_2,relu,0.15625,10
params_optimizer,AdamW,0.9745762711864406,115
params_optimizer,SGD,0.025423728813559324,3
params_scaler,MinMaxScaler_-1_1,0.8425925925925926,364
params_scaler,StandardScaler,0.1574074074074074,68
