"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,49.898305084745765,43.988224887197255,32,32,32,32,256
params_coord_decay_factor,0.3349537037037037,0.16150538248286814,0,0.2,0.30000000000000004,0.4,0.9
params_coord_dropout_layer_0,0.19328703703703703,0.12233737164000692,0,0.1,0.2,0.30000000000000004,0.5
params_coord_dropout_layer_1,0.24642857142857144,0.152415134518765,0,0.1,0.2,0.4,0.5
params_coord_dropout_layer_2,0.3208955223880597,0.15229289308000396,0,0.2,0.4,0.4,0.5
params_coord_dropout_layer_3,0.1731707317073171,0.15004064489981112,0,0.1,0.1,0.30000000000000004,0.5
params_coord_dropout_layer_4,0.20588235294117646,0.15600716423971575,0,0.1,0.2,0.30000000000000004,0.5
params_coord_layers,1.5486111111111112,1.0845670885326684,1,1,1,2,5
params_coord_units_layer_0,439.7037037037037,95.25418521322777,64,448,448,512,512
params_learning_rate,0.0015652121187334572,0.0019355930742459152,0.00005535091278608346,0.0004016076475969894,0.0007994084902546036,0.002159399786536007,0.009941391271286373
params_lidar_filter_decay_factor,0.7444444444444445,0.1771563643137328,0.1,0.7000000000000001,0.8,0.9,0.9
params_lidar_filters_layer_0,82.14814814814815,16.993960884369663,16,80,80,96,128
params_lidar_kernel_decay_factor,0.707638888888889,0.16394775684962803,0.1,0.6,0.7000000000000001,0.8,0.9
params_lidar_kernel_height_0,2.7083333333333335,0.666134745257975,1,3,3,3,3
params_lidar_kernel_height_1,1.6049382716049383,0.49190985824841454,1,1,2,2,2
params_lidar_kernel_height_2,1.328125,0.4732423621500228,1,1,1,2,2
params_lidar_kernel_width_0,1.9930555555555556,0.4334589918348389,1,2,2,2,3
params_lidar_kernel_width_1,1.4814814814814814,0.5027701042999452,1,1,1,2,2
params_lidar_kernel_width_2,1.34375,0.47871355387816905,1,1,1,2,2
params_lidar_layers,1.3356481481481481,0.7214496532199135,1,1,1,1,3
params_pool_dim1,1.1180555555555556,0.32304800799247174,1,1,1,1,2
params_pool_dim2,2.962962962962963,0.6767730985576625,1,3,3,3,4
