"Parameter","Category","Fraction","Count"
params_coord_activation_layer_0,tanh,0.813953488372093,70
params_coord_activation_layer_0,relu,0.1511627906976744,13
params_coord_activation_layer_0,sigmoid,0.03488372093023256,3
params_coord_activation_layer_1,relu,0.6956521739130435,16
params_coord_activation_layer_1,tanh,0.2608695652173913,6
params_coord_activation_layer_1,sigmoid,0.043478260869565216,1
params_coord_activation_layer_2,tanh,0.5882352941176471,10
params_coord_activation_layer_2,relu,0.35294117647058826,6
params_coord_activation_layer_2,sigmoid,0.058823529411764705,1
params_coord_activation_layer_3,relu,0.5,5
params_coord_activation_layer_3,sigmoid,0.3,3
params_coord_activation_layer_3,tanh,0.2,2
params_coord_activation_layer_4,relu,0.5,2
params_coord_activation_layer_4,sigmoid,0.5,2
params_lidar_activation_layer_0,tanh,0.9186046511627907,79
params_lidar_activation_layer_0,relu,0.046511627906976744,4
params_lidar_activation_layer_0,sigmoid,0.03488372093023256,3
params_lidar_activation_layer_1,sigmoid,0.6363636363636364,7
params_lidar_activation_layer_1,tanh,0.18181818181818182,2
params_lidar_activation_layer_1,relu,0.18181818181818182,2
params_lidar_activation_layer_2,sigmoid,0.7777777777777778,7
params_lidar_activation_layer_2,relu,0.2222222222222222,2
params_optimizer,AdamW,0.9285714285714286,13
params_optimizer,SGD,0.07142857142857142,1
params_scaler,MinMaxScaler_-1_1,0.8837209302325582,76
params_scaler,StandardScaler,0.11627906976744186,10
