"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,52.57142857142857,59.67825823107194,32,32,32,32,256
params_coord_decay_factor,0.3325581395348838,0.149069159208356,0.1,0.30000000000000004,0.30000000000000004,0.4,0.9
params_coord_dropout_layer_0,0.17093023255813955,0.1004299920866945,0,0.1,0.1,0.2,0.5
params_coord_dropout_layer_1,0.23478260869565218,0.16126966589641065,0,0.1,0.2,0.35000000000000003,0.5
params_coord_dropout_layer_2,0.35294117647058826,0.14194033543545476,0,0.30000000000000004,0.4,0.5,0.5
params_coord_dropout_layer_3,0.19,0.166332999331662,0,0.1,0.15000000000000002,0.275,0.5
params_coord_dropout_layer_4,0.17500000000000002,0.17078251276599332,0,0.07500000000000001,0.15000000000000002,0.25,0.4
params_coord_layers,1.627906976744186,1.1786983012469805,1,1,1,2,5
params_coord_units_layer_0,443.5348837209302,93.02532200167721,192,448,448,512,512
params_learning_rate,0.0015597071987491708,0.00214611283089766,0.00014670620300275645,0.0004990635546026309,0.0007286925861974082,0.0016865452456807867,0.008433362724174276
params_lidar_filter_decay_factor,0.7465116279069766,0.17469144187166438,0.2,0.7250000000000001,0.8,0.875,0.9
params_lidar_filters_layer_0,83.90697674418605,15.702849428182095,32,80,80,96,128
params_lidar_kernel_decay_factor,0.6906976744186047,0.15987341093483873,0.1,0.6,0.7000000000000001,0.8,0.9
params_lidar_kernel_height_0,2.7790697674418605,0.5821090011268392,1,3,3,3,3
params_lidar_kernel_height_1,1.3636363636363635,0.504524979109513,1,1,1,2,2
params_lidar_kernel_height_2,1.1111111111111112,0.33333333333333337,1,1,1,1,2
params_lidar_kernel_width_0,2.0348837209302326,0.3580231480720257,1,2,2,2,3
params_lidar_kernel_width_1,1,0,1,1,1,1,1
params_lidar_kernel_width_2,1.1111111111111112,0.33333333333333337,1,1,1,1,2
params_lidar_layers,1.2325581395348837,0.6263699077110184,1,1,1,1,3
params_pool_dim1,1.0930232558139534,0.292168644963595,1,1,1,1,2
params_pool_dim2,2.953488372093023,0.7655367474053135,1,3,3,3,4
