Parameter,|corr|
params_extra_units_layer_0,0.35696078073176646
params_extra_layers,0.3333333333333338
params_lidar_kernel_width_0,0.23462979874822096
params_extra_decay_factor,0.17622684421256013
params_lidar_kernel_decay_factor,0.07893968941791168
params_lidar_kernel_height_0,0.07106339859950662
params_pool_dim1,0.06370069044651894
params_lidar_filters_layer_0,0.05313222671337518
params_batch_size,0.04850462125528018
params_lidar_filter_decay_factor,0.040400175564848755
params_lidar_kernel_width_1,0.04005649254891661
params_lidar_layers,0.03584258210260792
params_lidar_kernel_height_1,0.026748868286241907
params_learning_rate,0.014152491390131632
params_pool_dim2,0.01148660475455737
params_extra_dropout_layer_0,3.572293551850219e-17
params_extra_dropout_layer_1,
params_lidar_kernel_height_2,
params_lidar_kernel_width_2,
