"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,42.95302013422819,34.451363204203844,32,32,32,32,256
params_extra_decay_factor,0.32941176470588235,0.13585242858683527,0.1,0.30000000000000004,0.4,0.4,0.5
params_extra_dropout_layer_0,0.12941176470588237,0.07717436331412898,0,0.1,0.1,0.2,0.30000000000000004
params_extra_dropout_layer_1,,,,,,,
params_extra_layers,1,0,1,1,1,1,1
params_extra_units_layer_0,210.8235294117647,52.8349260599909,48,192,224,240,256
params_learning_rate,0.002646432670136484,0.0011561120003754453,0.00017477626767735895,0.0018346501392190416,0.0026299186643901403,0.0034098588260430586,0.005914335877882382
params_lidar_filter_decay_factor,0.8778523489932889,0.08450622684868675,0.4,0.9,0.9,0.9,0.9
params_lidar_filters_layer_0,440.0536912751678,57.497330752956316,128,432,448,464,512
params_lidar_kernel_decay_factor,0.6697986577181209,0.08597980434347859,0.1,0.7,0.7,0.7,0.7
params_lidar_kernel_height_0,2.8053691275167787,0.6225259394247488,1,3,3,3,5
params_lidar_kernel_height_1,1.9932885906040267,0.2173751364266707,1,2,2,2,3
params_lidar_kernel_height_2,1,,1,1,1,1,1
params_lidar_kernel_width_0,3.771812080536913,0.5709262906124871,2,3,4,4,5
params_lidar_kernel_width_1,2.8456375838926173,0.41467721433835775,1,3,3,3,3
params_lidar_kernel_width_2,1,,1,1,1,1,1
params_lidar_layers,2.0067114093959733,0.08192319205190404,2,2,2,2,3
params_pool_dim1,1.8657718120805369,0.3420470593671201,1,2,2,2,2
params_pool_dim2,4.02013422818792,0.4995917070498144,2,4,4,4,6
