"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,65.16363636363636,13.720441139063459,32,64,64,64,128
params_extra_decay_factor,0.5943396226415095,0.2748531736285776,0.1,0.4,0.7000000000000001,0.8,0.9
params_extra_dropout_layer_0,0.3169811320754718,0.054546554063774,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.5
params_extra_dropout_layer_1,,,,,,,
params_extra_layers,1,0,1,1,1,1,1
params_extra_units_layer_0,235.16981132075472,20.476755911423645,192,224,240,256,256
params_filters_cnn_0,27.490909090909092,6.112745419666728,16,24,32,32,40
params_filters_cnn_1,48.72727272727273,13.445988725066403,8,48,56,56,64
params_filters_cnn_2,15.272727272727273,17.706929534375902,8,8,8,8,64
params_filters_cnn_3,58.18181818181818,4.476650984877428,48,56,56,64,64
params_kernel_height_cnn_0,2.2545454545454544,0.966440238197238,1,1.5,2,3,4
params_kernel_height_cnn_1,9.127272727272727,0.9823355663840974,7,9,9,10,10
params_kernel_height_cnn_2,7.418181818181818,1.6294842298159424,1,7,7,8,10
params_kernel_height_cnn_3,4.4363636363636365,0.8111180295816743,2,4,4,5,7
params_kernel_width_cnn_0,5.963636363636364,1.57484433520735,3,5,6,6.5,10
params_kernel_width_cnn_1,7.2727272727272725,2.0857057199347064,1,8,8,8,9
params_kernel_width_cnn_2,6.127272727272727,2.3495826694412605,3,4,6,8,10
params_kernel_width_cnn_3,3.9272727272727272,1.3173281805812609,1,3,4,5,6
params_learning_rate,0.002447242184941235,0.0007001449256218015,0.0010443298926202025,0.0020354360400022687,0.0023583878923474828,0.002875009161959641,0.003785966310082139
params_pool_dim1_0,1.981818181818182,0.13483997249264842,1,2,2,2,2
params_pool_dim1_1,1.981818181818182,0.13483997249264842,1,2,2,2,2
params_pool_dim1_2,1.018181818181818,0.13483997249264842,1,1,1,1,2
params_pool_dim1_3,1.981818181818182,0.13483997249264842,1,2,2,2,2
params_pool_dim2_0,2.909090909090909,0.34815531191139565,1,3,3,3,3
params_pool_dim2_1,2.018181818181818,0.9905275266971538,1,1,2,3,3
params_pool_dim2_2,2.309090909090909,0.4663779770834141,2,2,2,3,3
params_pool_dim2_3,2.9272727272727272,0.3251521270481031,1,3,3,3,3
