Parameter,Category,Fraction,Count
params_add_extra_dnn,True,0.8731884057971014,241
params_add_extra_dnn,False,0.12681159420289856,35
params_cnn_activation_layer_0,tanh,0.7862318840579711,217
params_cnn_activation_layer_0,relu,0.15579710144927536,43
params_cnn_activation_layer_0,sigmoid,0.057971014492753624,16
params_cnn_activation_layer_1,tanh,0.6811594202898551,188
params_cnn_activation_layer_1,relu,0.2753623188405797,76
params_cnn_activation_layer_1,sigmoid,0.043478260869565216,12
params_cnn_activation_layer_2,tanh,0.38768115942028986,107
params_cnn_activation_layer_2,sigmoid,0.34782608695652173,96
params_cnn_activation_layer_2,relu,0.2644927536231884,73
params_cnn_activation_layer_3,tanh,0.8478260869565217,234
params_cnn_activation_layer_3,relu,0.11594202898550725,32
params_cnn_activation_layer_3,sigmoid,0.036231884057971016,10
params_extra_activation_layer_0,tanh,0.8132780082987552,196
params_extra_activation_layer_0,relu,0.16597510373443983,40
params_extra_activation_layer_0,sigmoid,0.02074688796680498,5
params_extra_activation_layer_1,tanh,1.0,4
