"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,76.8,55.288603071787136,32,32,64,96,256
params_extra_decay_factor,0.5589743589743589,0.2510168255190421,0.1,0.4,0.5,0.8,0.9
params_extra_dropout_layer_0,0.3153846153846155,0.09607689228305227,0,0.30000000000000004,0.30000000000000004,0.4,0.5
params_extra_dropout_layer_1,0.19999999999999998,0.2645751311064591,0,0.05,0.1,0.3,0.5
params_extra_layers,1.0769230769230769,0.2699527623995085,1,1,1,1,2
params_extra_units_layer_0,196.92307692307693,62.847930341246226,32,152,224,240,256
params_filters_cnn_0,30.4,8.897773337772229,16,24,32,32,56
params_filters_cnn_1,49.74545454545454,17.734897781678903,8,48,56,64,64
params_filters_cnn_2,27.78181818181818,21.045533448085326,8,8,24,44,64
params_filters_cnn_3,51.49090909090909,11.393423586003506,8,48,56,56,64
params_kernel_height_cnn_0,3.9454545454545453,2.1552535454367883,1,2.5,3,5,10
params_kernel_height_cnn_1,7.236363636363636,3.3717982693250756,1,5.5,9,10,10
params_kernel_height_cnn_2,7.454545454545454,2.0441260182413354,1,6,7,9,10
params_kernel_height_cnn_3,5.454545454545454,1.960897204118014,1,4,5,6.5,10
params_kernel_width_cnn_0,4.6909090909090905,2.035542763843183,1,3,5,6,8
params_kernel_width_cnn_1,5.4363636363636365,2.9487199756758007,1,3,7,8,10
params_kernel_width_cnn_2,6.4363636363636365,2.64409640354617,2,4,7,8.5,10
params_kernel_width_cnn_3,4.3090909090909095,2.4180856161720263,1,2,4,5.5,10
params_learning_rate,0.0024536040671143114,0.0016233305174599819,0.00024364966398737127,0.0011311841382002864,0.0022018170783262266,0.00330308254302643,0.007698188154524137
params_pool_dim1_0,1.5636363636363637,0.5005047956863655,1,1,2,2,2
params_pool_dim1_1,1.9454545454545455,0.22918388365077624,1,2,2,2,2
params_pool_dim1_2,1.0545454545454545,0.22918388365077624,1,1,1,1,2
params_pool_dim1_3,1.7454545454545454,0.43962028304662343,1,1.5,2,2,2
params_pool_dim2_0,2.0727272727272728,0.9200351332773368,1,1,2,3,3
params_pool_dim2_1,1.8727272727272728,0.7467099554551001,1,1,2,2,3
params_pool_dim2_2,2.309090909090909,0.5732534593175419,1,2,2,3,3
params_pool_dim2_3,2.290909090909091,0.9163681791346966,1,1,3,3,3
