"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,65.33333333333333,82.17193529639307,32,32,32,64,512
params_learning_rate,0.0025985782034792294,0.00255995212655028,0.000015383910242522705,0.0002725511419479422,0.0020626794724084778,0.004159279135594067,0.009002270749240865
params_lidar_filter_decay_factor,0.6848167539267016,0.1739020986887591,0.1,0.6,0.7000000000000001,0.8,0.9
params_lidar_filters_layer_0,176.67015706806282,52.73060730559914,16,144,176,208,256
params_lidar_kernel_decay_factor,0.4413612565445027,0.20420894966338599,0.1,0.30000000000000004,0.4,0.6,0.9
params_lidar_kernel_height_0,3.5916230366492146,0.8464992829873507,1,3,4,4,5
params_lidar_kernel_height_1,1.9821428571428572,0.9627814144176507,1,1,2,3,4
params_lidar_kernel_height_2,1.1818181818181819,0.5010810823432182,1,1,1,1,3
params_lidar_kernel_height_3,1.1428571428571428,0.36313651960128146,1,1,1,1,2
params_lidar_kernel_height_4,1.3333333333333333,0.5163977794943222,1,1,1,1.75,2
params_lidar_kernel_width_0,1.5392670157068062,0.9826267090711481,1,1,1,2,5
params_lidar_kernel_width_1,1.9464285714285714,0.9614315624893169,1,1,2,3,4
params_lidar_kernel_width_2,1.1818181818181819,0.5010810823432182,1,1,1,1,3
params_lidar_kernel_width_3,1.1428571428571428,0.36313651960128146,1,1,1,1,2
params_lidar_kernel_width_4,1.3333333333333333,0.5163977794943222,1,1,1,1.75,2
params_lidar_layers,1.513089005235602,0.9833275341435298,1,1,1,2,5
params_pool_dim1,1.9109947643979057,0.28549966351500494,1,2,2,2,2
params_pool_dim2,3.25130890052356,1.1330842231316423,1,2,4,4,4
