"Parameter","Mean","Std","Min","25%","Median","75%","Max"
params_batch_size,45.09844559585492,41.86729590409732,32,32,32,32,256
params_extra_decay_factor,0.55,0.2585384019118976,0.1,0.30000000000000004,0.6,0.7250000000000001,0.9
params_extra_dropout_layer_0,0.2571428571428572,0.1554857684028483,0,0.125,0.25,0.375,0.5
params_extra_dropout_layer_1,0.20000000000000004,0.2,0,0.1,0.2,0.30000000000000004,0.4
params_extra_layers,1.25,0.4442616583193193,1,1,1,1.25,2
params_extra_units_layer_0,139.2,55.93379545216121,16,108,144,164,224
params_learning_rate,0.0038252655953869806,0.002594437619773093,0.000058559595072529534,0.0012854249155689107,0.003998686894378337,0.006027627417894545,0.009994772823359933
params_lidar_filter_decay_factor,0.46644067796610167,0.08840542646303012,0.4,0.4,0.4,0.5,0.9
params_lidar_filters_layer_0,254.86101694915254,78.31423927864094,128,176,272,320,496
params_lidar_kernel_decay_factor,0.29898305084745763,0.11080556782675215,0.1,0.2,0.30000000000000004,0.30000000000000004,0.7
params_lidar_kernel_height_0,1.8949152542372882,0.9216636335116762,1,1,2,2,5
params_lidar_kernel_height_1,1.3513513513513513,0.5383212700514347,1,1,1,2,3
params_lidar_kernel_height_2,1.0625,0.25,1,1,1,1,2
params_lidar_kernel_width_0,3.5627118644067797,0.783741745843926,1,3,4,4,5
params_lidar_kernel_width_1,1.3513513513513513,0.5383212700514347,1,1,1,2,3
params_lidar_kernel_width_2,1.0625,0.25,1,1,1,1,2
params_lidar_layers,1.1796610169491526,0.506683111871814,1,1,1,1,3
params_pool_dim1,1.8576271186440678,0.35002594161903966,1,2,2,2,2
params_pool_dim2,4.88135593220339,1.1200817779108303,2,5,5,6,6
