"Parameter","Category","Fraction","Count"
params_extra_activation_layer_0,relu,0.5535714285714286,62
params_extra_activation_layer_0,sigmoid,0.22321428571428573,25
params_extra_activation_layer_0,tanh,0.22321428571428573,25
params_extra_activation_layer_1,tanh,0.45454545454545453,5
params_extra_activation_layer_1,relu,0.2727272727272727,3
params_extra_activation_layer_1,sigmoid,0.2727272727272727,3
params_lidar_activation_layer_0,relu,0.7897227856659905,1168
params_lidar_activation_layer_0,tanh,0.1250845165652468,185
params_lidar_activation_layer_0,sigmoid,0.08519269776876268,126
params_lidar_activation_layer_1,tanh,0.5515463917525774,107
params_lidar_activation_layer_1,sigmoid,0.28350515463917525,55
params_lidar_activation_layer_1,relu,0.16494845360824742,32
params_lidar_activation_layer_2,tanh,0.5666666666666667,51
params_lidar_activation_layer_2,sigmoid,0.2222222222222222,20
params_lidar_activation_layer_2,relu,0.2111111111111111,19
