"Parameter","Category","Fraction","Count"
params_cnn3d_activation_layer_0,sigmoid,0.4117647058823529,21
params_cnn3d_activation_layer_0,relu,0.3333333333333333,17
params_cnn3d_activation_layer_0,tanh,0.2549019607843137,13
params_cnn3d_activation_layer_1,tanh,0.36666666666666664,11
params_cnn3d_activation_layer_1,relu,0.3333333333333333,10
params_cnn3d_activation_layer_1,sigmoid,0.3,9
params_cnn3d_activation_layer_2,tanh,0.4444444444444444,4
params_cnn3d_activation_layer_2,sigmoid,0.3333333333333333,3
params_cnn3d_activation_layer_2,relu,0.2222222222222222,2
params_optimizer,AdamW,0.7931034482758621,23
params_optimizer,SGD,0.20689655172413793,6
