epoch,train_loss,train_top_1_accuracy,val_loss,val_top_1_accuracy
1,"tf.Tensor(1.02337, shape=(), dtype=float32)","tf.Tensor(0.25170296, shape=(), dtype=float32)",0.00390625,0.35998213291168213
2,"tf.Tensor(0.6975881, shape=(), dtype=float32)","tf.Tensor(0.39754328, shape=(), dtype=float32)",0.00390625,0.41268423199653625
3,"tf.Tensor(0.5815122, shape=(), dtype=float32)","tf.Tensor(0.45092127, shape=(), dtype=float32)",0.00390625,0.4470745921134949
4,"tf.Tensor(0.52391887, shape=(), dtype=float32)","tf.Tensor(0.47247347, shape=(), dtype=float32)",0.00390625,0.4787851572036743
5,"tf.Tensor(0.47383368, shape=(), dtype=float32)","tf.Tensor(0.4946957, shape=(), dtype=float32)",0.00390625,0.48816436529159546
6,"tf.Tensor(0.44654888, shape=(), dtype=float32)","tf.Tensor(0.507761, shape=(), dtype=float32)",0.00390625,0.4948637783527374
7,"tf.Tensor(0.42800435, shape=(), dtype=float32)","tf.Tensor(0.5172529, shape=(), dtype=float32)",0.00390625,0.4988834261894226
8,"tf.Tensor(0.42197704, shape=(), dtype=float32)","tf.Tensor(0.5213847, shape=(), dtype=float32)",0.00390625,0.5015631914138794
9,"tf.Tensor(0.41099936, shape=(), dtype=float32)","tf.Tensor(0.5286432, shape=(), dtype=float32)",0.00390625,0.5096024870872498
10,"tf.Tensor(0.39954543, shape=(), dtype=float32)","tf.Tensor(0.5319933, shape=(), dtype=float32)",0.00390625,0.5113890171051025
11,"tf.Tensor(0.39218187, shape=(), dtype=float32)","tf.Tensor(0.53947514, shape=(), dtype=float32)",0.00390625,0.5167485475540161
12,"tf.Tensor(0.3820674, shape=(), dtype=float32)","tf.Tensor(0.5437186, shape=(), dtype=float32)",0.00390625,0.5212148427963257
13,"tf.Tensor(0.37727964, shape=(), dtype=float32)","tf.Tensor(0.55488557, shape=(), dtype=float32)",0.00390625,0.5221080780029297
14,"tf.Tensor(0.36907628, shape=(), dtype=float32)","tf.Tensor(0.5586823, shape=(), dtype=float32)",0.00390625,0.5243412256240845
15,"tf.Tensor(0.36292803, shape=(), dtype=float32)","tf.Tensor(0.5605807, shape=(), dtype=float32)",0.00390625,0.5225546956062317
16,"tf.Tensor(0.34075287, shape=(), dtype=float32)","tf.Tensor(0.56214404, shape=(), dtype=float32)",0.00390625,0.5274676084518433
17,"tf.Tensor(0.32640934, shape=(), dtype=float32)","tf.Tensor(0.56973755, shape=(), dtype=float32)",0.00390625,0.5323805212974548
18,"tf.Tensor(0.3105965, shape=(), dtype=float32)","tf.Tensor(0.5713009, shape=(), dtype=float32)",0.00390625,0.5390799641609192
19,"tf.Tensor(0.31769705, shape=(), dtype=float32)","tf.Tensor(0.57163596, shape=(), dtype=float32)",0.00390625,0.5404198169708252
20,"tf.Tensor(0.34058264, shape=(), dtype=float32)","tf.Tensor(0.5721943, shape=(), dtype=float32)",0.00390625,0.5377400517463684
21,"tf.Tensor(0.3343425, shape=(), dtype=float32)","tf.Tensor(0.57386935, shape=(), dtype=float32)",0.00390625,0.5279142260551453
22,"tf.Tensor(0.3266859, shape=(), dtype=float32)","tf.Tensor(0.572306, shape=(), dtype=float32)",0.00390625,0.5337204337120056
23,"tf.Tensor(0.28271353, shape=(), dtype=float32)","tf.Tensor(0.59352314, shape=(), dtype=float32)",0.00390625,0.5493524074554443
24,"tf.Tensor(0.28059578, shape=(), dtype=float32)","tf.Tensor(0.5992183, shape=(), dtype=float32)",0.00390625,0.5542653203010559
25,"tf.Tensor(0.27859837, shape=(), dtype=float32)","tf.Tensor(0.6020101, shape=(), dtype=float32)",0.00390625,0.5560517907142639
26,"tf.Tensor(0.27678248, shape=(), dtype=float32)","tf.Tensor(0.60134006, shape=(), dtype=float32)",0.00390625,0.5569450855255127
27,"tf.Tensor(0.27474204, shape=(), dtype=float32)","tf.Tensor(0.6025684, shape=(), dtype=float32)",0.00390625,0.5578383207321167
28,"tf.Tensor(0.27214006, shape=(), dtype=float32)","tf.Tensor(0.60312676, shape=(), dtype=float32)",0.00390625,0.5578383207321167
29,"tf.Tensor(0.27051306, shape=(), dtype=float32)","tf.Tensor(0.60457844, shape=(), dtype=float32)",0.00390625,0.5587315559387207
30,"tf.Tensor(0.27008817, shape=(), dtype=float32)","tf.Tensor(0.60536015, shape=(), dtype=float32)",0.00390625,0.5591782331466675
